dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.932221,4.283749,4.753221,0.596253,-0.199431,0.000000,4.832398
0.050000,3.935678,4.254389,4.782784,0.586281,-0.199431,0.000000,4.826776
0.050000,3.938916,4.225505,4.811849,0.576310,-0.199431,-0.000000,4.821328
0.050000,3.941947,4.197100,4.840415,0.566338,-0.199431,0.000000,4.816049
0.050000,3.944780,4.169176,4.868483,0.556367,-0.199431,0.000000,4.810933
0.050000,3.947424,4.141733,4.896052,0.546395,-0.199431,0.000000,4.805975
0.050000,3.949889,4.114776,4.923122,0.536423,-0.199431,-0.000000,4.801171
0.050000,3.952183,4.088303,4.949694,0.526452,-0.199431,0.000000,4.796516
0.050000,3.954315,4.062317,4.975768,0.516480,-0.199431,0.000000,4.792006
0.050000,3.956293,4.036819,5.001342,0.506509,-0.199431,0.000000,4.787638
0.050000,3.958125,4.011810,5.026418,0.496537,-0.199431,0.000000,4.783406
0.050000,3.959819,3.987291,5.050996,0.486566,-0.199431,0.000000,4.779307
0.050000,3.961381,3.963262,5.075075,0.476594,-0.199431,0.000000,4.775337
0.050000,3.962819,3.939726,5.098655,0.466623,-0.199431,0.000000,4.771494
0.050000,3.964140,3.916682,5.121737,0.456651,-0.199431,-0.000000,4.767773
0.050000,3.965349,3.894131,5.144320,0.446680,-0.199431,0.000000,4.764172
0.050000,3.966454,3.872074,5.166405,0.436708,-0.199431,0.000000,4.760687
0.050000,3.967460,3.850512,5.187991,0.426736,-0.199431,0.000000,4.757316
0.050000,3.968372,3.829444,5.209079,0.416765,-0.199431,-0.000000,4.754055
0.050000,3.969198,3.808872,5.229668,0.406793,-0.199431,0.000000,4.750902
0.050000,3.969940,3.788795,5.249758,0.396822,-0.199431,0.000000,4.747854
0.050000,3.970606,3.769215,5.269350,0.386850,-0.199431,-0.000000,4.744910
0.050000,3.971200,3.750131,5.288443,0.376879,-0.199431,0.000000,4.742065
0.050000,3.971726,3.731543,5.307038,0.366907,-0.199431,0.000000,4.739320
0.050000,3.972189,3.713453,5.325134,0.356936,-0.199431,-0.000000,4.736670
0.050000,3.972594,3.695860,5.342731,0.346964,-0.199431,0.000000,4.734114
0.050000,3.972944,3.678765,5.359830,0.336992,-0.199431,0.000000,4.731650
0.050000,3.973244,3.662167,5.376431,0.327021,-0.199431,0.000000,4.729277
0.050000,3.973498,3.646068,5.392532,0.317049,-0.199431,-0.000000,4.726992
0.050000,3.973709,3.630466,5.408136,0.307078,-0.199431,0.000000,4.724794
0.050000,3.973880,3.615362,5.423240,0.297106,-0.199431,0.000000,4.722680
0.050000,3.974016,3.600757,5.437846,0.287135,-0.199431,-0.000000,4.720650
0.050000,3.974118,3.586650,5.451954,0.277163,-0.199431,0.000000,4.718703
0.050000,3.974192,3.573041,5.465562,0.267192,-0.199431,0.000000,4.716835
0.050000,3.974238,3.559931,5.478673,0.257220,-0.199431,-0.000000,4.715047
0.050000,3.974261,3.547319,5.491284,0.247249,-0.199431,0.000000,4.713337
0.050000,3.974262,3.535206,5.503398,0.237277,-0.199431,0.000000,4.711703
0.050000,3.974245,3.523591,5.515012,0.227305,-0.199431,-0.000000,4.710145
0.050000,3.974212,3.512476,5.526128,0.217334,-0.199431,0.000000,4.708661
0.050000,3.974165,3.501858,5.536746,0.207362,-0.199431,0.000000,4.707251
0.050000,3.974106,3.491739,5.546864,0.197391,-0.199431,-0.000000,4.705913
0.050000,3.974038,3.482120,5.556485,0.187419,-0.199431,0.000000,4.704647
0.050000,3.973962,3.472998,5.565606,0.177448,-0.199431,-0.000000,4.703451
0.050000,3.973880,3.464375,5.574229,0.167476,-0.199431,0.000000,4.702325
0.050000,3.973794,3.456251,5.582354,0.157505,-0.199431,0.000000,4.701268
0.050000,3.973705,3.448626,5.589980,0.147533,-0.199431,-0.000000,4.700280
0.050000,3.973616,3.441499,5.597107,0.137561,-0.199431,0.000000,4.699359
0.050000,3.973527,3.434871,5.603736,0.127590,-0.199431,0.000000,4.698505
0.050000,3.973439,3.428741,5.609866,0.117618,-0.199431,-0.000000,4.697718
0.050000,3.973354,3.423110,5.615498,0.107647,-0.199431,0.000000,4.696996
0.050000,3.973274,3.417978,5.620631,0.097675,-0.199431,-0.000000,4.696340
0.050000,3.973198,3.413344,5.625265,0.087704,-0.199431,0.000000,4.695749
0.050000,3.973128,3.409209,5.629401,0.077732,-0.199431,0.000000,4.695222
0.050000,3.973065,3.405572,5.633039,0.067761,-0.199431,-0.000000,4.694760
0.050000,3.973009,3.402421,5.636190,0.058291,-0.189394,0.200742,4.694360
0.050000,3.972959,3.399726,5.638886,0.049534,-0.175149,0.284901,4.694018
0.050000,3.972917,3.397451,5.641161,0.041488,-0.160904,0.284901,4.693730
0.050000,3.972882,3.395560,5.643052,0.034155,-0.146659,0.284901,4.693491
0.050000,3.972853,3.394018,5.644594,0.027535,-0.132414,0.284901,4.693296
0.050000,3.972829,3.392790,5.645823,0.021626,-0.118169,0.284901,4.693141
0.050000,3.972811,3.391838,5.646775,0.016430,-0.103923,0.284901,4.693021
0.050000,3.972797,3.391129,5.647484,0.011946,-0.089678,0.284901,4.692931
0.050000,3.972787,3.390626,5.647987,0.008175,-0.075433,0.284901,4.692868
0.050000,3.972781,3.390293,5.648320,0.005115,-0.061188,0.284901,4.692826
0.050000,3.972777,3.390096,5.648517,0.002768,-0.046943,0.284901,4.692801
0.050000,3.972775,3.389999,5.648614,0.001133,-0.032698,0.284901,4.692789
0.050000,3.972774,3.389965,5.648648,0.000210,-0.018453,0.284901,4.692784
0.050000,3.972774,3.389960,5.648653,0.000000,-0.004208,0.284901,4.692784
0.050000,3.972774,3.389960,5.648653,0.000000,0.000000,0.084159,4.692784
