dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.474247,3.524713,4.721738,0.216719,-0.184198,-0.003008,4.710145
0.050000,3.474216,3.514339,4.732111,0.207475,-0.184887,-0.013775,4.708661
0.050000,3.474172,3.504427,4.742024,0.198246,-0.184587,0.005995,4.707251
0.050000,3.474117,3.494977,4.751474,0.189002,-0.184873,-0.005720,4.705913
0.050000,3.474053,3.485991,4.760461,0.179739,-0.185255,-0.007639,4.704647
0.050000,3.473982,3.477467,4.768984,0.170474,-0.185294,-0.000771,4.703451
0.050000,3.473905,3.469407,4.777045,0.161211,-0.185271,0.000448,4.702325
0.050000,3.473825,3.461811,4.784641,0.151919,-0.185838,-0.011341,4.701268
0.050000,3.473742,3.454680,4.791772,0.142629,-0.185805,0.000676,4.700280
0.050000,3.473658,3.448014,4.798439,0.133336,-0.185845,-0.000816,4.699359
0.050000,3.473575,3.441813,4.804641,0.124036,-0.185999,-0.003062,4.698505
0.050000,3.473493,3.436077,4.810378,0.114731,-0.186108,-0.002181,4.697718
0.050000,3.473414,3.430806,4.815649,0.105422,-0.186173,-0.001307,4.696996
0.050000,3.473338,3.426002,4.820454,0.096096,-0.186520,-0.006942,4.696340
0.050000,3.473267,3.421664,4.824792,0.086772,-0.186485,0.000698,4.695749
0.050000,3.473202,3.417792,4.828665,0.077459,-0.186262,0.004454,4.695222
0.050000,3.473142,3.414386,4.832071,0.068119,-0.186802,-0.010793,4.694760
0.050000,3.473090,3.411435,4.835023,0.059031,-0.181755,0.100940,4.694360
0.050000,3.473044,3.408911,4.837547,0.050490,-0.170829,0.218522,4.694018
0.050000,3.473004,3.406780,4.839679,0.042638,-0.157042,0.275742,4.693730
0.050000,3.472971,3.405009,4.841450,0.035428,-0.144199,0.256854,4.693491
0.050000,3.472944,3.403564,4.842895,0.028891,-0.130740,0.269192,4.693296
0.050000,3.472922,3.402413,4.844046,0.023028,-0.117257,0.269648,4.693141
0.050000,3.472904,3.401522,4.844938,0.017829,-0.103974,0.265672,4.693021
0.050000,3.472891,3.400857,4.845603,0.013296,-0.090668,0.266107,4.692931
0.050000,3.472882,3.400386,4.846074,0.009428,-0.077346,0.266438,4.692868
0.050000,3.472876,3.400074,4.846385,0.006228,-0.064012,0.266680,4.692826
0.050000,3.472873,3.399890,4.846570,0.003694,-0.050670,0.266846,4.692801
0.050000,3.472871,3.399798,4.846661,0.001828,-0.037322,0.266951,4.692789
0.050000,3.472870,3.399767,4.846693,0.000630,-0.023972,0.267009,4.692784
0.050000,3.472870,3.399762,4.846698,0.000099,-0.010620,0.267035,4.692784
0.050000,3.472870,3.399762,4.846698,0.000000,-0.001972,0.172963,4.692784
